run_name,delay_k,efference_length,step,network_class,dataset,decode_seed,decode_version,group_version,frac_valid,condition,arm,budget,wandb_id,seed,group,n_layers,target,target_degenerate,test_r2,val_r2,lambda,n_train,n_test,n_features
RodentForwardModel_delay10_eff10_nodetach-20260812-072521,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8362644098163559,pgfm,implicit,600000000,cgs8q5gj,42,latent_z,1,proprio,False,0.0337514730106457,0.0301181354865788,10000.0,50355,20592,32
RodentForwardModel_delay10_eff10_nodetach-20260812-100602,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8174638723213654,pgfm,implicit,600000000,kwk401pl,42,latent_z,1,proprio,False,0.0355419925892687,0.0318507154955328,10000.0,48403,20949,32
RodentForwardModel_delay10_eff10_nodetach-20260812-072521,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8362644098163559,pgfm,implicit,600000000,cgs8q5gj,42,p_hat,1,proprio,False,0.5328576839433149,0.4829706140186505,100.0,50355,20592,277
RodentForwardModel_delay10_eff10_nodetach-20260812-100602,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8174638723213654,pgfm,implicit,600000000,kwk401pl,42,p_hat,1,proprio,False,0.5293472564490008,0.4850055979147855,100.0,48403,20949,277
RodentForwardModel_delay10_eff10_nodetach-20260812-072521,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8362644098163559,pgfm,implicit,600000000,cgs8q5gj,42,whole_network,17,proprio,False,0.6812535480511935,0.6117877182775316,10000.0,50355,20592,7233
RodentForwardModel_delay10_eff10_nodetach-20260812-100602,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8174638723213654,pgfm,implicit,600000000,kwk401pl,42,whole_network,17,proprio,False,0.667764721661262,0.6395940565357846,10000.0,48403,20949,7233
RodentForwardModel_delay20_eff20_nodetach-20260812-100615,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.6823003842617695,pgfm,implicit,600000000,yt776s6d,42,decoder,5,delta,False,0.3123506979520828,0.2489775448323169,1000.0,40796,17089,2124
RodentForwardModel_delay20_eff20_nodetach-20260812-100615,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.6823003842617695,pgfm,implicit,600000000,yt776s6d,42,encoder,7,delta,False,0.0421153333490809,0.0045360600835635,100000.0,40796,17089,2784
RodentForwardModel_delay20_eff20_nodetach-20260812-100615,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.6823003842617695,pgfm,implicit,600000000,yt776s6d,42,fm_plus_decoder,10,delta,False,0.6739642843885929,0.6176525826500463,1000.0,40796,17089,4449
RodentForwardModel_delay20_eff20_nodetach-20260812-100615,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.6823003842617695,pgfm,implicit,600000000,yt776s6d,42,forward_model,5,delta,False,0.6670662498454636,0.616184921786777,1000.0,40796,17089,2325
RodentForwardModel_delay20_eff20_nodetach-20260812-100615,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.6823003842617695,pgfm,implicit,600000000,yt776s6d,42,input,1,delta,False,0.7967937198270665,0.7759066543534621,1000.0,40796,17089,1037
RodentForwardModel_delay20_eff20_nodetach-20260812-100615,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.6823003842617695,pgfm,implicit,600000000,yt776s6d,42,latent_z,1,delta,False,0.0164362247300483,0.0036615352942622,10000.0,40796,17089,32
RodentForwardModel_delay20_eff20_nodetach-20260812-100615,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.6823003842617695,pgfm,implicit,600000000,yt776s6d,42,p_hat,1,delta,False,0.2941966272884033,0.2074467031710309,100.0,40796,17089,277
RodentForwardModel_delay20_eff20_nodetach-20260812-100615,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.6823003842617695,pgfm,implicit,600000000,yt776s6d,42,whole_network,17,delta,False,0.5969406098809388,0.5123097225785826,10000.0,40796,17089,7233
RodentForwardModel_delay20_eff20_nodetach-20260812-100615,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.6823003842617695,pgfm,implicit,600000000,yt776s6d,42,decoder,5,proprio,False,0.5247819758806669,0.4748099032931848,1000.0,40796,17089,2124
RodentForwardModel_delay20_eff20_nodetach-20260812-100615,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.6823003842617695,pgfm,implicit,600000000,yt776s6d,42,encoder,7,proprio,False,0.0818638375912294,0.0644672656645274,100000.0,40796,17089,2784
RodentForwardModel_delay20_eff20_nodetach-20260812-100615,20,20,600064000,RodentForwardModel,old_eval,0,1,1,0.6823003842617695,pgfm,implicit,600000000,yt776s6d,42,fm_plus_decoder,10,proprio,False,0.6129941876370926,0.5794227472728632,1000.0,40796,17089,4449
