wandb_id,condition,cohort,budget,delay,seed,step,reward_mean,reward_smooth
jp5jehho,delayed_mlp,primary,1000000000,0,46,114032640,970.6572875976562,970.1442835190717
jp5jehho,delayed_mlp,primary,1000000000,0,46,114769920,969.4439086914062,970.1331535788144
jp5jehho,delayed_mlp,primary,1000000000,0,46,115261440,970.3758544921876,970.1765818876379
jp5jehho,delayed_mlp,primary,1000000000,0,46,115998720,970.214111328125,970.2073579676011
jp5jehho,delayed_mlp,primary,1000000000,0,46,116490240,970.2584838867188,970.2376062729779
jp5jehho,delayed_mlp,primary,1000000000,0,46,117227520,970.40283203125,970.3010541130515
jp5jehho,delayed_mlp,primary,1000000000,0,46,117719040,970.1028442382812,970.3180326573989
jp5jehho,delayed_mlp,primary,1000000000,0,46,118210560,970.2315063476562,970.3932207892923
jp5jehho,delayed_mlp,primary,1000000000,0,46,118947840,970.7545166015624,970.435593548943
jp5jehho,delayed_mlp,primary,1000000000,0,46,119439360,970.887939453125,970.4474882238052
jp5jehho,delayed_mlp,primary,1000000000,0,46,120176640,970.8382568359376,970.4633501838235
jp5jehho,delayed_mlp,primary,1000000000,0,46,120668160,971.2083129882812,970.4936702952665
jp5jehho,delayed_mlp,primary,1000000000,0,46,121405440,971.494140625,970.5728652056525
jp5jehho,delayed_mlp,primary,1000000000,0,46,121896960,971.9749755859376,970.6624827665441
jp5jehho,delayed_mlp,primary,1000000000,0,46,122634240,971.6464233398438,970.7049452837775
jp5jehho,delayed_mlp,primary,1000000000,0,46,123125760,971.0333251953124,970.7229973288144
jp5jehho,delayed_mlp,primary,1000000000,0,46,123617280,971.7369384765624,970.7800975126379
jp5jehho,delayed_mlp,primary,1000000000,0,46,124354560,971.5238037109376,970.8310690487133
jp5jehho,delayed_mlp,primary,1000000000,0,46,124846080,971.677490234375,970.9624561982996
jp5jehho,delayed_mlp,primary,1000000000,0,46,125583360,971.6017456054688,971.0345674402573
jp5jehho,delayed_mlp,primary,1000000000,0,46,126074880,971.821533203125,971.1291216681985
jp5jehho,delayed_mlp,primary,1000000000,0,46,126812160,971.468994140625,971.2003281537225
jp5jehho,delayed_mlp,primary,1000000000,0,46,127303680,971.9213256835938,971.2896513097427
jp5jehho,delayed_mlp,primary,1000000000,0,46,128040960,971.7335205078124,971.3855734432445
jp5jehho,delayed_mlp,primary,1000000000,0,46,128532480,971.780029296875,971.4766630284927
jp5jehho,delayed_mlp,primary,1000000000,0,46,129024000,971.5625,971.5241914636948
jp5jehho,delayed_mlp,primary,1000000000,0,46,129761280,971.25927734375,971.5460348690258
jp5jehho,delayed_mlp,primary,1000000000,0,46,130252800,971.3748779296876,971.5776008157169
jp5jehho,delayed_mlp,primary,1000000000,0,46,130990080,971.1163330078124,971.5721902286305
