run_name,condition,network_class,dataset,delay_k,efference_length,step,proprio_size,probe,target,test_r2,val_r2,lambda,n_train,n_test,n_features
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,layer::3/action/1/4,delta,0.2102381695694766,0.16053050556046944,1000.0,49173,18907,76
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,layer::3/action/1/4,delta,0.2271660500081344,0.1567791429756099,1000.0,36353,14130,76
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,layer::3/action/1/5/action,delta,,-inf,1.0,57019,24990,38
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,layer::3/action/1/5/action,delta,0.20429537321631663,0.16468680653252077,1000.0,54687,23992,38
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,layer::3/action/1/5/action,delta,0.18351191940353162,0.1448211605927192,1000.0,49173,18907,38
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,layer::3/action/1/5/action,delta,0.19657992998854024,0.1430753008582346,1000.0,36353,14130,38
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,layer::3/action/1/5/log_likelihood,delta,,-inf,1.0,57019,24990,1
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,layer::3/action/1/5/log_likelihood,delta,0.00022247639697814403,0.00015778814860079038,1000.0,54687,23992,1
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,layer::3/action/1/5/log_likelihood,delta,0.00016106183615793856,0.00011180568668567314,1000.0,49173,18907,1
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,layer::3/action/1/5/log_likelihood,delta,0.0005562544531229063,0.00025090118597459465,1000.0,36353,14130,1
