condition,arm,min_std,wandb_id,wandb_name,state,delay_k,git_commit,action_noise,spec_id,dataset,have_artifact,checkpoint_step,record_action_noise,walker_xml,n_clips,n_steps,episode_reward,episode_reward_std,lifespan_steps,lifespan_s,survived,reward_per_step,hazard_rate,fm_pred_mse,term_root_too_far,term_root_too_rotated,term_pose_error,term_nan_termination,joint_l2_error,root_pos_distance,body_errors_total
encdec,encdec,0.1,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,failed,2,ef060b73,0.25,eval3ds-n25-da25f356,new_eval,True,600064000,0.25,rodent_no_tail_collisions.xml,32,3002,47.10392105579376,16.901054781569616,23.625,0.23625,0.0,1.9938167642664026,0.042328042328042326,,0.53125,0.59375,0.0,0.0,1.4649084066784677,0.050277358923049784,0.17291335587771756
encdec,encdec,0.1,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,failed,2,ef060b73,0.25,eval3ds-n25-da25f356,old_eval,True,600064000,0.25,rodent_no_tail_collisions.xml,169,502,39.00914537553957,15.822062128546536,18.46153846153846,0.18461538461538463,0.0,2.1129953745083934,0.05416666666666667,,0.6153846153846154,0.5088757396449705,0.0,0.0,1.4579626010793125,0.05304950323851627,0.1717021951414544
encdec,encdec,0.1,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,failed,2,ef060b73,0.25,eval3ds-n25-da25f356,train,True,600064000,0.25,rodent_no_tail_collisions.xml,673,502,40.066465159581995,17.357645838132306,19.424962852897472,0.19424962852897476,0.0,2.062627633473471,0.051480149927331145,,0.5839524517087668,0.4918276374442793,0.0,0.0,1.4742632280280774,0.052694604393989805,0.17298587356071018
encdec,encdec,0.1,qpsikl6i,RodentEncDec_delay3_eff3-20260811-081204,failed,3,ef060b73,0.0,eval3ds-n00-6a6b8d4e,new_eval,True,600064000,0.0,rodent_no_tail_collisions.xml,32,3002,8471.563630104065,4668.079090600014,2004.6875,20.046875,0.4375,4.225877414860952,0.00028059236165237723,,0.28125,0.28125,0.0,0.0,1.3233510636800916,0.007520371339384644,0.06019052581921291
encdec,encdec,0.1,qpsikl6i,RodentEncDec_delay3_eff3-20260811-081204,failed,3,ef060b73,0.0,eval3ds-n00-6a6b8d4e,old_eval,True,600064000,0.0,rodent_no_tail_collisions.xml,169,502,2058.4179872140376,339.28425360916077,474.64497041420117,4.746449704142012,0.9467455621301775,4.3367529743710325,0.00011219846662095628,,0.047337278106508875,0.005917159763313609,0.0,0.0,1.3097236249251467,0.0077789425132445125,0.05418058290286043
encdec,encdec,0.1,qpsikl6i,RodentEncDec_delay3_eff3-20260811-081204,failed,3,ef060b73,0.0,eval3ds-n00-6a6b8d4e,train,True,600064000,0.0,rodent_no_tail_collisions.xml,673,502,2101.591054386405,258.6137306488007,480.75037147102523,4.807503714710252,0.9702823179791976,4.371480874691467,6.181520344928837e-05,,0.020802377414561663,0.008915304606240713,0.0,0.0,1.2789666960313375,0.006899802352034172,0.04871434093591832
encdec,encdec,0.1,qpsikl6i,RodentEncDec_delay3_eff3-20260811-081204,failed,3,ef060b73,0.02,eval3ds-n02-a4e0be11,new_eval,True,600064000,0.02,rodent_no_tail_collisions.xml,32,3002,9359.706624984741,4243.065174396777,2240.6875,22.406875,0.59375,4.177158405616464,0.00018130596078212602,,0.21875,0.1875,0.0,0.0,1.3554292711000218,0.009471155253707193,0.059605207074739666
encdec,encdec,0.1,qpsikl6i,RodentEncDec_delay3_eff3-20260811-081204,failed,3,ef060b73,0.02,eval3ds-n02-a4e0be11,old_eval,True,600064000,0.02,rodent_no_tail_collisions.xml,169,502,1977.0985930403308,463.4633810853313,460.24852071005915,4.602485207100592,0.9053254437869822,4.295719603813426,0.00020570311897354153,,0.07100591715976332,0.029585798816568046,0.0,0.0,1.3082305159995269,0.009996546396091712,0.05959580376926024
encdec,encdec,0.1,qpsikl6i,RodentEncDec_delay3_eff3-20260811-081204,failed,3,ef060b73,0.02,eval3ds-n02-a4e0be11,train,True,600064000,0.02,rodent_no_tail_collisions.xml,673,502,2088.0771307073765,254.17593924394188,480.9851411589896,4.8098514115898965,0.9702823179791976,4.341250803872884,6.178503134045716e-05,,0.020802377414561663,0.008915304606240713,0.0,0.0,1.2716334768619206,0.00843275133259865,0.04947810388208838
encdec,encdec,0.1,qpsikl6i,RodentEncDec_delay3_eff3-20260811-081204,failed,3,ef060b73,0.05,eval3ds-n05-7c60cd50,new_eval,True,600064000,0.05,rodent_no_tail_collisions.xml,32,3002,3978.504779815674,3072.837818768802,1051.6875,10.516874999999999,0.0625,3.78297239419093,0.0008914244963451596,,0.59375,0.34375,0.0,0.0,1.4105358826785523,0.020782494905181616,0.10930584921082448
