wandb_id,wandb_name,wandb_project,state,git_commit,tags,notes,env,delay_k,efference_length,fm_loss_weight,latent_size,kl_weight,body_target_frame,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,fm_hidden_sizes,n_envs,total_steps,episode_reward/mean,episode_reward/std,actual_step,condition
1j36ffre,RodentForwardModel_delay40_eff40-20260619-035659,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay40,eff40,warp",Explicit forward model.,AbsoluteImitation,40,40,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1444.188720703125,560.1549072265625,600064000,forward_model
ndmbbiw9,RodentForwardModel_delay50_eff50-20260622-091049,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay50,eff50,warp",Sweeping forward model loss weight.,AbsoluteImitation,50,50,0.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,676.13623046875,514.9046630859375,600064000,forward_model
29h53tbw,RodentForwardModel_delay50_eff50-20260619-040449,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay50,eff50,warp",Explicit forward model.,AbsoluteImitation,50,50,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1345.9512939453125,589.0496826171875,600064000,forward_model
rmeykqfj,RodentForwardModel_delay60_eff60-20260619-040528,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay60,eff60,warp",Explicit forward model.,AbsoluteImitation,60,60,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1293.4940185546875,588.5738525390625,600064000,forward_model
5chxtk59,RodentForwardModel_delay70_eff70-20260619-040722,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay70,eff70,warp",Explicit forward model.,AbsoluteImitation,70,70,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1196.955810546875,577.099853515625,600064000,forward_model
3wnn9itz,RodentForwardModel_delay80_eff80-20260619-040733,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay80,eff80,warp",Explicit forward model.,AbsoluteImitation,80,80,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1211.232666015625,572.9645385742188,600064000,forward_model
zu36pzzv,RodentForwardModel_delay90_eff90-20260619-041422,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay90,eff90,warp",Explicit forward model.,AbsoluteImitation,90,90,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1163.7845458984375,552.7642822265625,600064000,forward_model
4dgvazws,RodentForwardModel_delay100_eff100-20260619-041703,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay100,eff100,warp",Explicit forward model.,AbsoluteImitation,100,100,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1126.962646484375,545.8890991210938,600064000,forward_model
da7bwy31,RodentEncDec_delay1_eff0-20260612-071239,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay1,eff0,warp",Train-eval split,AbsoluteImitation,1,0,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,1698.1209716796875,319.0189514160156,600064000,no_efference
xjfzwowg,RodentEncDec_delay2_eff0-20260612-071444,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay2,eff0,warp",Train-eval split,AbsoluteImitation,2,0,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,1407.158203125,538.6952514648438,600064000,no_efference
ul1hea27,RodentEncDec_delay3_eff0-20260612-071444,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay3,eff0,warp",Train-eval split,AbsoluteImitation,3,0,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,1142.318603515625,648.9302978515625,600064000,no_efference
t201z077,RodentEncDec_delay4_eff0-20260612-071444,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay4,eff0,warp",Train-eval split,AbsoluteImitation,4,0,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,1082.827880859375,646.04248046875,600064000,no_efference
ckdbxgv4,RodentEncDec_delay5_eff0-20260612-071444,nnx-ppo-rodent-delays,finished,1cd5838f55449417b0aa477b8452a1fbdd77f392,"EncDec,MLP,TrainEvalSplit,delay5,eff0,warp",Train-eval split,AbsoluteImitation,5,0,,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]",,4096,600000000,1015.625244140625,639.853759765625,600064000,no_efference
