wandb_id,condition,delay,seed,step,reward_mean
icn8rgcb,delayed_mlp,7,i43/p43,134430720,870.48828125
icn8rgcb,delayed_mlp,7,i43/p43,139345920,870.54296875
icn8rgcb,delayed_mlp,7,i43/p43,144015360,885.08203125
icn8rgcb,delayed_mlp,7,i43/p43,148930560,870.3125
icn8rgcb,delayed_mlp,7,i43/p43,153600000,869.12890625
icn8rgcb,delayed_mlp,7,i43/p43,158515200,883.65234375
icn8rgcb,delayed_mlp,7,i43/p43,163430400,878.2265625
icn8rgcb,delayed_mlp,7,i43/p43,168099840,900.109375
icn8rgcb,delayed_mlp,7,i43/p43,173015040,888.609375
icn8rgcb,delayed_mlp,7,i43/p43,177684480,890.23828125
icn8rgcb,delayed_mlp,7,i43/p43,182599680,895.12890625
icn8rgcb,delayed_mlp,7,i43/p43,187269120,897.62890625
icn8rgcb,delayed_mlp,7,i43/p43,192184320,897.046875
icn8rgcb,delayed_mlp,7,i43/p43,196853760,877.8984375
icn8rgcb,delayed_mlp,7,i43/p43,201768960,895.58203125
icn8rgcb,delayed_mlp,7,i43/p43,206438400,895.82421875
icn8rgcb,delayed_mlp,7,i43/p43,211353600,902.46875
icn8rgcb,delayed_mlp,7,i43/p43,216023040,905.28515625
icn8rgcb,delayed_mlp,7,i43/p43,220938240,917.56640625
icn8rgcb,delayed_mlp,7,i43/p43,225607680,911.03515625
icn8rgcb,delayed_mlp,7,i43/p43,230522880,916.484375
icn8rgcb,delayed_mlp,7,i43/p43,235438080,918.70703125
icn8rgcb,delayed_mlp,7,i43/p43,240107520,916.66015625
icn8rgcb,delayed_mlp,7,i43/p43,245022720,924.91015625
icn8rgcb,delayed_mlp,7,i43/p43,249692160,919.99609375
icn8rgcb,delayed_mlp,7,i43/p43,254607360,931.56640625
icn8rgcb,delayed_mlp,7,i43/p43,259276800,925.2265625
icn8rgcb,delayed_mlp,7,i43/p43,264192000,918.5390625
icn8rgcb,delayed_mlp,7,i43/p43,268861440,926.3359375
icn8rgcb,delayed_mlp,7,i43/p43,273776640,933.203125
icn8rgcb,delayed_mlp,7,i43/p43,278446080,928.26171875
icn8rgcb,delayed_mlp,7,i43/p43,283361280,923.58984375
icn8rgcb,delayed_mlp,7,i43/p43,288030720,929.59375
icn8rgcb,delayed_mlp,7,i43/p43,292945920,866.80078125
icn8rgcb,delayed_mlp,7,i43/p43,297615360,866.8046875
icn8rgcb,delayed_mlp,7,i43/p43,302530560,883.42578125
icn8rgcb,delayed_mlp,7,i43/p43,307200000,907.40234375
icn8rgcb,delayed_mlp,7,i43/p43,312115200,913.6953125
icn8rgcb,delayed_mlp,7,i43/p43,317030400,930.55078125
icn8rgcb,delayed_mlp,7,i43/p43,321699840,927.80859375
icn8rgcb,delayed_mlp,7,i43/p43,326615040,935.875
icn8rgcb,delayed_mlp,7,i43/p43,331284480,936.359375
icn8rgcb,delayed_mlp,7,i43/p43,336199680,933.32421875
icn8rgcb,delayed_mlp,7,i43/p43,340869120,938.90625
icn8rgcb,delayed_mlp,7,i43/p43,345784320,937.40625
icn8rgcb,delayed_mlp,7,i43/p43,350453760,903.01171875
icn8rgcb,delayed_mlp,7,i43/p43,355368960,936.828125
icn8rgcb,delayed_mlp,7,i43/p43,360038400,932.62890625
icn8rgcb,delayed_mlp,7,i43/p43,364953600,936.57421875
icn8rgcb,delayed_mlp,7,i43/p43,369623040,935.37890625
icn8rgcb,delayed_mlp,7,i43/p43,374538240,934.921875
icn8rgcb,delayed_mlp,7,i43/p43,379207680,931.62890625
icn8rgcb,delayed_mlp,7,i43/p43,384122880,933.52734375
icn8rgcb,delayed_mlp,7,i43/p43,389038080,938.45703125
icn8rgcb,delayed_mlp,7,i43/p43,393707520,938.19140625
icn8rgcb,delayed_mlp,7,i43/p43,398622720,937.859375
icn8rgcb,delayed_mlp,7,i43/p43,403292160,943.28125
icn8rgcb,delayed_mlp,7,i43/p43,408207360,933.671875
icn8rgcb,delayed_mlp,7,i43/p43,412876800,941.1796875
icn8rgcb,delayed_mlp,7,i43/p43,417792000,941.70703125
icn8rgcb,delayed_mlp,7,i43/p43,422461440,943.69140625
icn8rgcb,delayed_mlp,7,i43/p43,427376640,945.265625
icn8rgcb,delayed_mlp,7,i43/p43,432046080,941.796875
icn8rgcb,delayed_mlp,7,i43/p43,436961280,946.30078125
icn8rgcb,delayed_mlp,7,i43/p43,441630720,946.1796875
icn8rgcb,delayed_mlp,7,i43/p43,446545920,940.69140625
icn8rgcb,delayed_mlp,7,i43/p43,451215360,941.56640625
icn8rgcb,delayed_mlp,7,i43/p43,456130560,942.15625
icn8rgcb,delayed_mlp,7,i43/p43,460800000,948.0625
icn8rgcb,delayed_mlp,7,i43/p43,465715200,945.75
icn8rgcb,delayed_mlp,7,i43/p43,470630400,949.8046875
icn8rgcb,delayed_mlp,7,i43/p43,475299840,948.49609375
