condition,arm,budget,wandb_id,run_name,delay_k,step,probe,pathway,stage_index,stage_label,target,target_degenerate,test_r2,val_r2,lambda,n_train,n_test,n_features
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/value/3,critic,3.0,value (1),proprio,False,0.0158986823441397,0.0168438737241233,1.0,50264,21175,1
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/decoder/5/log_likelihood,diagnostic,,,delta,False,0.0012273580254661,0.0008877200691789,1000.0,50264,21175,1
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/decoder/5/log_likelihood,diagnostic,,,proprio,False,0.0108323857664698,0.006364994805466,1000.0,50264,21175,1
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/0/task_obs/0,encoder,0.0,task_obs (640),delta,False,0.0088406975843242,0.0025640560667969,1000.0,50264,21175,640
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/0/task_obs/0,encoder,0.0,task_obs (640),proprio,False,0.0633764165917716,0.065399363189149,1000.0,50264,21175,640
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/0/task_obs/1,encoder,1.0,enc 1,delta,False,0.0005309090338539,-0.0230937951108343,1000.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/0/task_obs/1,encoder,1.0,enc 1,proprio,False,0.0562756236148558,0.0393481694193593,1000.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/0/task_obs/2,encoder,2.0,enc 2,delta,False,-0.0038701796514017,-0.0430734007438293,1000.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/0/task_obs/2,encoder,2.0,enc 2,proprio,False,0.0556346711818848,0.0159165737501714,1000.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/0/task_obs/3,encoder,3.0,enc 3,delta,False,0.0036239852413811,-0.040900806032954,1000.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/0/task_obs/3,encoder,3.0,enc 3,proprio,False,0.0649531844039598,0.0083216658627796,1000.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/0/task_obs/4,encoder,4.0,enc 4,delta,False,0.0091513274092124,-0.0286327677087501,1000.0,50264,21175,512
