wandb_id,condition,task,delay,seed,step,reward_mean
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,135659520,669.7493286132812
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,136396800,697.1505126953125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,136888320,673.224609375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,137625600,696.9052734375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,138117120,702.476806640625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,138608640,712.0093383789062
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,139345920,730.3257446289062
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,139837440,749.336181640625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,140574720,677.9522094726562
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,141066240,706.36474609375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,141803520,779.9158935546875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,142295040,773.2606811523438
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,143032320,790.4671020507812
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,143523840,792.9943237304688
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,144015360,816.4483642578125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,144752640,830.6234130859375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,145244160,829.6995239257812
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,145981440,821.342041015625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,146472960,812.5984497070312
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,147210240,812.2915649414062
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,147701760,818.1036987304688
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,148439040,820.9461059570312
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,148930560,827.7012939453125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,149422080,829.60791015625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,150159360,835.82177734375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,150650880,840.4288330078125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,151388160,844.5951538085938
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,151879680,846.5386352539062
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,152616960,848.8140869140625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,153108480,849.6649169921875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,153600000,850.3196411132812
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,154337280,850.966552734375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,154828800,850.5655517578125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,155566080,851.5673828125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,156057600,851.2021484375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,156794880,849.8706665039062
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,157286400,847.4212646484375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,158023680,843.4235229492188
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,158515200,836.44970703125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,159006720,835.0537109375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,159744000,827.5933837890625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,160235520,821.395263671875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,160972800,820.2305297851562
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,161464320,811.6072387695312
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,162201600,811.06640625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,162693120,809.4088134765625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,163430400,809.0924072265625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,163921920,816.8328857421875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,164413440,829.5420532226562
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,165150720,841.9525146484375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,165642240,848.0958862304688
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,166379520,851.5333251953125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,166871040,856.7207641601562
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,167608320,857.5670776367188
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,168099840,855.715087890625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,168837120,851.8461303710938
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,169328640,850.0445556640625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,169820160,846.8221435546875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,170557440,838.3416748046875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,171048960,837.6597900390625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,171786240,835.6153564453125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,172277760,837.7932739257812
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,173015040,838.328369140625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,173506560,838.534912109375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,174243840,840.0993041992188
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,174735360,842.3681640625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,175226880,842.6231689453125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,175964160,845.09619140625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,176455680,843.9300537109375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,177192960,842.06787109375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,177684480,841.817138671875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,178421760,839.1061401367188
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,178913280,832.221435546875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,179404800,829.4080200195312
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,180142080,829.0115966796875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,180633600,828.2705688476562
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,181370880,826.5362548828125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,181862400,827.2846069335938
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,182599680,829.8827514648438
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,183091200,833.2520751953125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,183828480,836.282470703125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,184320000,833.59521484375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,184811520,832.0750732421875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,185548800,829.7398681640625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,186040320,825.3958740234375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,186777600,826.409912109375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,187269120,826.754638671875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,188006400,826.1304931640625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,188497920,825.7395629882812
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,189235200,824.9718017578125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,189726720,825.4755249023438
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,190218240,822.6721801757812
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,190955520,822.912109375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,191447040,821.4139404296875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,192184320,820.3628540039062
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,192675840,818.7525634765625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,193413120,819.0279541015625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,193904640,818.297607421875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,194641920,815.240234375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,195133440,816.0045166015625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,195624960,818.956787109375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,196362240,815.9798583984375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,196853760,816.2615966796875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,197591040,816.748779296875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,198082560,812.5250244140625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,198819840,806.454833984375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,199311360,799.57373046875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,199802880,798.884033203125
