wandb_id,wandb_name,wandb_project,git_commit,tags,condition,control_mode,network,delay_k,efference_length,torque_actuators,fm_loss_weight,detach_prediction,body_target_frame,seed,latent_size,kl_weight,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,clip_length,actual_step,reward_mean,reward_std,lifespan_mean,fm_pred_mse
1w7nuehe,RodentEncDec_delay50_eff50-20260611-120955,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay50,eff50,warp",torque_efference,torque,efference,50,50,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1045.143310546875,559.1459350585938,296.958984375,
y7dh46ee,RodentEncDec_delay60_eff60-20260611-120954,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay60,eff60,warp",torque_efference,torque,efference,60,60,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,992.5313110351562,530.5802001953125,284.494140625,
oe9lq9ej,RodentEncDec_delay70_eff70-20260611-120906,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay70,eff70,warp",torque_efference,torque,efference,70,70,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,878.22802734375,466.50384521484375,256.2177734375,
fgt63dqc,RodentEncDec_delay80_eff80-20260611-120906,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay80,eff80,warp",torque_efference,torque,efference,80,80,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,871.5228881835938,463.3311767578125,261.283203125,
2l2lwxl0,RodentEncDec_delay90_eff90-20260611-120905,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay90,eff90,warp",torque_efference,torque,efference,90,90,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,789.737548828125,413.3051452636719,235.224609375,
fmypxy1t,RodentEncDec_delay100_eff100-20260611-120955,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay100,eff100,warp",torque_efference,torque,efference,100,100,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,772.2216796875,408.118896484375,229.779296875,
oof7uath,RodentForwardModel_delay0_eff0-20260619-032834,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay0,eff0,warp",torque_forward_model,torque,forward_model,0,0,True,1.0,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1985.561767578125,137.70921325683594,446.412109375,
n360ngyz,RodentForwardModel_delay1_eff1-20260619-032834,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay1,eff1,warp",torque_forward_model,torque,forward_model,1,1,True,1.0,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1966.170654296875,165.7288360595703,444.765625,
cux09djh,RodentForwardModel_delay2_eff2-20260619-033003,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay2,eff2,warp",torque_forward_model,torque,forward_model,2,2,True,1.0,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1944.8040771484375,197.5319671630859,442.9287109375,
7mbhtcl1,RodentForwardModel_delay3_eff3-20260619-033153,emiwar-team/nnx-ppo-rodent-delays,54643764,"ForwardModel,MLP,TrainEvalSplit,delay3,eff3,warp",torque_forward_model,torque,forward_model,3,3,True,1.0,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1921.68408203125,215.3975372314453,441.646484375,
